time,nod1,nod2,u2_mean,v2_mean,trend,total,total_nodal,total_wind
1896,0.5006757062473829,-0.0,0.4052679632002404,0.02345410235749467,-10.682803251708037,-9.75340547990292,0.5006757062473829,0.42872206555773507
1897,0.4724187438360002,-0.43486028964050066,0.3526667501793126,0.5520609615367336,-10.603878983815855,-9.66159281790431,0.037558454195499524,0.9047277117160462
1898,0.3908373699525309,-0.820635589914638,0.7163662870003534,0.48093021206966047,-10.525207200514265,-9.757708921406358,-0.42979821996210715,1.197296499070014
1899,0.26514010734545096,-1.1137813947756172,0.44938959342923723,0.4025479073435393,-10.44689112645653,-10.44359491311392,-0.8486412874301663,0.8519375007727765
1900,0.1095150733145721,-1.2812087810516064,0.3383987442250654,0.20141648075505908,-10.368947924900128,-11.000826407657039,-1.1716937077370344,0.5398152249801245
1901,-0.05847150840682188,-1.304019330858119,0.32309975031782356,0.021843225580886815,-10.291381006730864,-11.308928870097095,-1.3624908392649409,0.34494297589871037
1902,-0.21985810057580868,-1.1796382963477043,0.27334611223503635,0.16337065793368208,-10.21428896319894,-11.177068589953736,-1.399496396923513,0.43671677016871846
1903,-0.3564281418065757,-0.9221052251676505,0.5275182432843616,0.7099275172445426,-10.13774871261741,-10.178836319062732,-1.2785333669742263,1.2374457605289042
1904,-0.45276624655744097,-0.560489242187487,0.4195232993747157,0.38890600924105984,-10.061289517556142,-10.266115697685295,-1.0132554887449279,0.8084293086157756
1905,-0.49799822153018153,-0.13560786306025846,0.48359615369989273,0.2943397429759066,-9.984127439554703,-9.839797627469343,-0.63360608459044,0.7779358966757993
1906,-0.4870184935937305,0.3045802954507833,0.5386744149000442,0.16877277198566404,-9.905180070286843,-9.380171081544082,-0.1824381981429472,0.7074471868857082
1907,-0.42106640292663555,0.7103888591366333,0.4481017041650419,0.21106401737838476,-9.82320186154398,-8.874713683790556,0.28932245620999775,0.6591657215434267
1908,-0.30758631211201465,1.0360120611617747,0.40329421167863844,0.20499269149681687,-9.737515376430132,-8.400802724204915,0.7284257490497601,0.6082869031754553
1909,-0.1593873214140804,1.2446950821287879,0.3829918401071641,0.05103247828366718,-9.647931982276148,-8.12859990317061,1.0853077607147075,0.4340243183908313
1910,0.006802562366344283,1.3128827616582917,0.319009262156302,0.1027527374076705,-9.554561927867024,-7.813114604278415,1.319685324024636,0.4217619995639725
1911,0.17222460482078383,1.2328783943845476,0.4106863404514156,0.2275573257266613,-9.457806096946987,-7.414459431563579,1.4051029992053314,0.6382436661780769
1912,0.31820674186734405,1.013712497948384,0.40312446123120865,0.39112808477750394,-9.35781446616816,-7.231642680343719,1.331919239815728,0.7942525460087126
1913,0.4282711947450966,0.6801234905321832,0.39963176749779644,0.6940793532263311,-9.25438537553322,-7.052279569531812,1.10839468527728,1.0937111207241275
1914,0.489994404375825,0.269765334274675,0.2806853253874421,0.7251299582927252,-9.146981599570356,-7.381406577239689,0.7597597386505,1.0058152836801673
1915,0.4964093444281833,-0.17104266732335188,0.2689129137993132,0.3315814229740515,-9.034551203633578,-8.108690189755382,0.3253666771048314,0.6004943367733647
1916,0.44679192656447525,-0.5925441750732009,0.7657385624755042,1.0483242103238541,-8.915944120600583,-7.247633596309951,-0.14575224850872565,1.8140627727993583
1917,0.34674273213518453,-0.9471620762361774,0.5118762092189788,0.8338098613428975,-8.7899060245772,-8.044639298116316,-0.6004193441009928,1.3456860705618763
